model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12,Env13,Env14,Env15,Env16
816,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
817,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
817,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
818,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-100100.00000000132,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
818,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-100100.00000000132,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
819,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
819,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
820,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
820,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
821,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
821,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
822,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
822,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
823,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
823,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
824,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
