model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
204.0,target,False,983.4,993.0,985.7,994.3,-99.9999999999986,-99.9999999999986,908.2000000000011,997.3,985.7,998.2,-99.9999999999986,994.2
205.0,train,True,-1.9000000000000008,-0.4,999.4,999.4,-0.4,-0.7999999999999999,-0.6,999.4,999.6,999.2,-1.0,-0.5
205.0,train,False,999.4,999.4,999.4,951.3999999999997,906.7000000000011,-99.9999999999986,-99.9999999999986,999.4,999.5,999.2,-99.9999999999986,999.5
205.0,target,True,-1.9000000000000008,-0.4,999.4,999.4,-0.4,-0.7999999999999999,-0.6,999.4,999.6,999.2,-1.0,-0.5
205.0,target,False,999.4,999.4,999.4,967.0999999999997,995.6,-99.9999999999986,-99.9999999999986,999.4,999.6,999.2,-99.9999999999986,999.5
206.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.2,999.6,999.2,-1.0,-0.5
206.0,train,False,999.6,999.6,999.6,999.6,998.6,998.8,998.6,999.6,999.6,999.0,-99.9999999999986,998.7
206.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.2,999.6,999.2,-1.0,-0.5
206.0,target,False,999.6,999.6,999.6,999.6,998.6,998.8,998.6,999.6,999.6,999.0,-99.9999999999986,998.7
207.0,train,True,999.4,-0.4,-1.1,998.8,-0.4,-0.7999999999999999,-0.6,-1.5000000000000002,999.6,-1.2,-1.0,-0.5
207.0,train,False,999.3,998.8,993.6,995.6,999.0,-99.9999999999986,-99.9999999999986,998.5,999.6,987.1,-99.9999999999986,999.5
207.0,target,True,999.4,-0.4,-1.1,998.8,-0.4,-0.7999999999999999,-0.6,998.7,999.6,-1.2,-1.0,-0.5
207.0,target,False,999.3,998.8,993.6,995.6,999.0,-99.9999999999986,-99.9999999999986,998.5,999.6,987.1,-99.9999999999986,999.5
208.0,train,True,-2.800000000000001,-0.4,-7.699999999999988,-1.3,-0.4,-0.7999999999999999,-0.6,-1.5000000000000002,-0.6,-1.2,-1.0,-0.5
208.0,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,944.6999999999997,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
208.0,target,True,-2.800000000000001,-0.4,-1.8000000000000005,-1.1,-0.4,-0.7999999999999999,-0.7999999999999999,-1.5000000000000002,-0.6,-1.2,-1.0,-0.5
208.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,977.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
209.0,train,True,-2.800000000000001,-0.4,-4.200000000000001,-1.3,-0.4,-0.7999999999999999,-0.7999999999999999,-1.3,-0.6,-1.2,-1.0,-0.5
209.0,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
209.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
209.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
210.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
210.0,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
210.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
210.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
211.0,train,True,-2.800000000000001,-0.4,-4.200000000000001,-1.3,-0.4,-0.7999999999999999,-0.7999999999999999,-1.3,-0.6,-1.2,-1.0,-0.5
211.0,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
211.0,target,True,-2.800000000000001,-0.4,-1.2,-1.3,-0.4,-0.7999999999999999,-0.6,-1.5000000000000002,-0.6,-1.6000000000000003,-1.0,-0.5
211.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
212.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
212.0,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
212.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
