model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
210.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
211.0,train,True,27.0,3.0,41.0,12.0,3.0,7.0,7.0,12.0,5.0,11.0,9.0,4.0
211.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
211.0,target,True,27.0,3.0,11.0,12.0,3.0,7.0,5.0,14.0,5.0,15.0,9.0,4.0
211.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
212.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
212.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
212.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
212.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
213.0,train,True,27.0,3.0,11.0,12.0,3.0,7.0,5.0,14.0,5.0,15.0,9.0,4.0
213.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
213.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
213.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
214.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
214.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
214.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
214.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
215.0,train,True,27.0,3.0,76.0,12.0,3.0,7.0,5.0,14.0,5.0,11.0,9.0,4.0
215.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
215.0,target,True,27.0,3.0,76.0,12.0,3.0,7.0,5.0,14.0,5.0,11.0,9.0,4.0
215.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
216.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
216.0,train,False,999.0,536.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
216.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
216.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
218.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
218.0,train,False,999.0,536.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
218.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
218.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
219.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,17.0,9.0,4.0
219.0,train,False,3.0,5.0,3.0,3.0,999.0,999.0,999.0,3.0,7.0,280.0,999.0,4.0
219.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,17.0,9.0,4.0
219.0,target,False,3.0,5.0,3.0,3.0,999.0,999.0,999.0,3.0,7.0,148.0,999.0,4.0
