experiment,reply_size,layers,tau,optimizer,advantage,max_steps,activation,batch_size,totalsteps,exploration,vanish,gamma,hidden_size,train_repeat,batch_norm,seed,rwrdschem,svision,details,tr_count,tr_TR,tr_TT,tr_TS,ts_count,ts_TR,ts_TT,ts_TS,tr_s,ts_s,tr_AR,tr_AS,ts_AR,ts_AS,tr_SMD,tr_SM,tr_RMD,tr_RM,ts_SMD,ts_SM,ts_RMD,ts_RM
1,100000,1,0.001,adam,naive,1000,relu,10,1000000,0.1,0.75,0.99,100,1,False,1337,"[-10, 1000, -0.1]",180,n,43726,43429000,6137,1000000,4373,4048794,1642,332053,0.995494671362576,0.9334552938486164,993.2077025110916,22.869688514842423,925.8618797164418,75.93254058998399,8.0,13.331520290086921,999.2,996.2139071081959,9.0,24.54637526652452,999.1,982.6199893390193
2,100000,1,0.001,adam,naive,1000,relu,10,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,13917,13395999,6372,1000010,1392,1056377,1506,316222,0.9697492275634116,0.7816091954022989,962.563699073076,71.85528490335561,758.8915229885057,227.17097701149424,10.0,83.4722963951936,999.0,942.9211281708946,11.0,172.22333333333333,998.9,819.4443333333337
3,100000,1,0.001,adam,naive,1000,tanh,10,1000000,0.1,0.75,0.99,100,1,False,1337,"[-10, 1000, -0.1]",180,n,14219,13718985,5244,1000147,1422,1115759,1418,292401,0.9718686264856882,0.8052039381153305,964.8347281806032,70.33877206554611,784.6406469760901,205.62658227848098,12.0,167.225935828877,998.8,878.3308823529413,13.0,255.78666666666663,998.7,727.7546666666672
4,100000,1,0.001,adam,naive,1000,tanh,10,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,13551,13030987,5193,1000128,1356,1039989,1430,300105,0.9690059774186408,0.7890855457227138,961.6254888938086,73.80473765773743,766.9535398230089,221.3163716814159,13.0,155.60683229813662,998.7,895.6194409937891,13.5,255.61111111111111,998.65,727.5253086419757
5,100000,1,0.001,adam,avg,1000,relu,10,1000000,0.1,0.75,0.99,100,1,False,1337,"[-10, 1000, -0.1]",180,n,20653,20188958,5901,1000411,2066,1730827,1562,321727,0.9823754418244324,0.8533397870280736,977.5314966348717,48.4390161235656,837.7671829622459,155.72458857696031,8.0,25.357620591811923,999.2,989.1545500608023,10.0,59.431174089068826,999.0,944.4617408906884
6,100000,1,0.001,adam,avg,1000,relu,10,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,24175,23753999,6580,1000005,2418,2086806,1574,321938,0.9867218200620476,0.8763440860215054,982.5852740434332,41.36525336091003,863.0297766749379,133.14226633581472,9.0,18.2644374680587,999.1,993.5010002190262,11.0,39.436177972283005,998.9,966.8805981035742
7,100000,1,0.001,adam,avg,1000,tanh,10,1000000,0.1,0.75,0.99,100,1,False,1337,"[-10, 1000, -0.1]",180,n,29799,29304949,5184,1000504,2980,2726353,1283,256466,0.9867780798013356,0.923489932885906,983.420551025202,33.57508641229571,914.8835570469797,86.06241610738255,8.0,27.68127490039841,999.2,985.3903497122624,10.0,59.23230088495576,999.0,944.2980088495576
8,100000,1,0.001,adam,avg,1000,tanh,10,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,8756,8141940,5244,1000595,876,611196,1184,248037,0.9412973960712654,0.726027397260274,929.8698035632707,114.27535404294198,697.7123287671233,283.1472602739726,19.0,332.875,998.1,726.0210106382982,18.5,440.8026315789474,998.15,521.7092105263165
9,100000,1,0.001,adam,max,1000,relu,10,1000000,0.1,0.75,0.99,100,1,False,1337,"[-10, 1000, -0.1]",180,n,7772,7152999,6169,1000006,778,517739,925,242601,0.9332218219248584,0.6966580976863753,920.3549922799796,128.66778178075143,665.474293059126,311.82647814910024,11.0,162.28460543337644,998.9,884.1596377749031,12.0,289.3782051282052,998.8,689.0108974358976
10,100000,1,0.001,adam,max,1000,relu,10,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,13227,12726944,5803,1000551,1323,1022497,1095,285022,0.9697588266424736,0.7944066515495087,962.1942995388221,75.64459061011567,772.8624338624338,215.4361300075585,11.0,54.366854908774975,998.9,972.6258688097307,12.0,87.04338394793926,998.8,915.3737527114968
