experiment,reply_size,layers,tau,optimizer,advantage,max_steps,activation,batch_size,totalsteps,exploration,vanish,gamma,hidden_size,train_repeat,batch_norm,seed,rwrdschem,svision,nconv,cnnfilter,cnnsize,optimizer_lr,details,tr_count,tr_TR,tr_TT,tr_TS,ts_count,ts_TR,ts_TT,ts_TS,tr_s,ts_s,tr_AR,tr_AS,ts_AR,ts_AS,tr_SMD,tr_SM,tr_RMD,tr_RM,ts_SMD,ts_SM,ts_RMD,ts_RM
809,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,104206,103963999,107782,2000002,10421,10328289,1031,247104,0.9995969521908528,0.9934747145187602,997.6776673128227,19.192772009289293,991.1034449668938,23.712119758180595,10.0,11.370377950607176,999.0,998.8629622049392,9.0,10.433833560709413,999.1,998.9566166439291
819,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1337,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.001,CNN subordinate only,3385,1611900,169775,2000991,339,37216,1195,287834,0.5353028064992614,0.19469026548672566,476.1890694239291,591.1347119645495,109.78171091445428,849.0678466076696,1000.0,887.3120567375887,-99.9999999999986,69.07021276595862,1000.0,925.9298245614035,-99.9999999999986,12.670175438597727
847,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1337,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.0001,CNN subordinate only,2954,1071975,159548,2000244,296,32382,1257,246179,0.43060257278266756,0.19256756756756757,362.8893026404875,677.1306702775897,109.39864864864865,831.6858108108108,1000.0,768.7357910906298,-99.9999999999986,188.8714285714296,1000.0,686.6818181818181,-99.9999999999986,279.8166666666676
848,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1111,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.0001,CNN subordinate only,3117,1249923,128037,2000770,312,34024,1330,259753,0.465190888675008,0.19230769230769232,401.0019249278152,641.8896374719282,109.05128205128206,832.5416666666666,1000.0,705.7450704225353,-99.9999999999986,256.1860563380291,1000.0,769.5833333333334,-99.9999999999986,173.0416666666677
824,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,9111,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.001,CNN subordinate only,2663,742966,283063,2000338,267,-7586,948,255870,0.35411190386781827,0.06741573033707865,278.9958693203154,751.1595944423583,-28.411985018726593,958.314606741573,1000.0,908.8130671506352,-99.9999999999986,52.49437386569992,1000.0,967.0714285714286,-99.9999999999986,-60.992857142855804
853,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1122,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.0001,CNN subordinate only,2729,753921,133503,2000789,273,23209,1184,237905,0.34957860021986076,0.17216117216117216,276.26273360205204,733.1582997434958,85.01465201465201,871.4468864468864,1000.0,845.7331081081081,-99.9999999999986,94.48074324324439,1000.0,871.65,-99.9999999999986,62.83500000000118
830,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.0001,CNN subordinate only,2782,877903,113282,2000961,279,6536,772,254635,0.38749101365923794,0.11469534050179211,315.56542056074767,719.2526959022287,23.42652329749104,912.6702508960574,1000.0,861.7934595524957,-99.9999999999986,110.03407917383934,1000.0,914.6949152542373,-99.9999999999986,10.225423728814802
815,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,5423,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.001,CNN subordinate only,2628,708986,361585,2000137,263,-3913,1007,249136,0.3458904109589041,0.07984790874524715,269.7815829528158,761.0871385083714,-14.87832699619772,947.2851711026616,1000.0,909.7890909090909,-99.9999999999986,52.65745454545575,1000.0,950.3928571428571,-99.9999999999986,-23.61071428571297
812,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1337,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,103814,103572999,116288,2000005,10382,10311789,776,202102,0.9996050629009575,0.9951839722596802,997.6785308339915,19.26527250659834,993.2372375264881,19.46657676748218,10.0,11.294720910795364,999.0,998.8705279089204,9.0,10.716350496838302,999.1,998.7025293586269
825,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1122,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.001,CNN subordinate only,2640,742991,303012,2000085,265,205,1054,247941,0.3571969696969697,0.09433962264150944,281.43598484848485,757.6079545454545,0.7735849056603774,935.6264150943397,1000.0,900.6870503597122,-99.9999999999986,61.010431654677426,1000.0,938.2280701754386,-99.9999999999986,11.440350877194206
854,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1337,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.0001,CNN subordinate only,2808,912974,136734,2000260,281,21266,1184,247332,0.39636752136752135,0.16370106761565836,325.1331908831909,712.3433048433048,75.6797153024911,880.185053380783,1000.0,871.4163763066202,-99.9999999999986,88.81655052264924,1000.0,884.1551724137931,-99.9999999999986,49.51551724138053
850,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,5423,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.0001,CNN subordinate only,2956,1166984,143903,2000160,296,10052,1342,269474,0.46244925575101486,0.125,394.7848443843031,676.6441136671177,33.95945945945946,910.3851351351351,1000.0,812.2646103896104,-99.9999999999986,168.77353896103997,1000.0,863.983870967742,-99.9999999999986,74.89193548387213
